unit_id,institution_name,year,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91,total_students_all,total_black_all,total_asian_all,total_women_all,total_men_all,total_undergrad_men,total_undergrad_women,total_undergrad_black,total_undergrad_asian,total_undergrad_hispanic,total_undergrad_white_men,total_undergrad_white_women,total_white_all,ftime_total_undergrad,ftime_total_undergrad_men,ftime_total_undergrad_women,total_students_undergrad
198464,East Carolina University,2013,56,21508,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.366199,35.606347,NA,26887,4038,711,16203,10684,8802,12706,3467,547,1074,6239,8851,19170,18500,7704,10796,21508
139658,Emory University,2019,90,NA,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325512,33.790183,NA,14415,1500,2271,8621,5794,2868,4250,579,1513,750,1095,1668,6191,7012,2835,4177,7118
139658,Emory University,2018,90,7086,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325512,33.790183,NA,14458,1450,2227,8604,5854,2832,4254,553,1461,709,1087,1692,6258,6985,2794,4191,7086
139658,Emory University,2017,91,6937,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325512,33.790183,NA,14263,1385,2067,8324,5939,2809,4128,571,1338,640,1104,1714,6342,6794,2762,4032,6937
139658,Emory University,2016,91,6861,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325512,33.790183,NA,14067,1390,2010,8176,5891,2814,4047,588,1254,585,1153,1683,6274,6714,2754,3960,6861
139658,Emory University,2015,89,6867,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325782,33.798836,NA,13788,1410,1968,7937,5851,2876,3991,637,1295,545,1170,1592,6147,6751,2825,3926,6867
139658,Emory University,2014,89,6880,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325782,33.798836,NA,14769,1474,2281,8349,6420,3424,4405,715,1605,551,1415,1747,6635,7732,3375,4357,7829
139658,Emory University,2013,90,7836,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325782,33.798836,NA,14513,1423,2334,8185,6328,3393,4443,719,1708,484,1414,1734,6528,7676,3321,4355,7836
133669,Florida Atlantic University,2019,50,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102978,26.372421,NA,30061,5795,1332,17229,12832,10745,13995,4896,1074,6822,4587,5265,12301,16678,7334,9344,24740
133669,Florida Atlantic University,2018,52,24591,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102978,26.372421,NA,29772,5660,1307,16977,12795,10690,13686,4751,1062,6664,4649,5252,12510,16436,7208,9228,24376
133669,Florida Atlantic University,2017,51,25017,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102978,26.372421,NA,30208,5778,1361,17061,13147,11047,13983,4950,1100,6738,4861,5432,12849,16325,7224,9101,25030
133669,Florida Atlantic University,2016,50,25396,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102978,26.372421,NA,30541,5847,1328,17295,13246,11159,14243,4995,1095,6702,5044,5671,13296,16252,7211,9041,25402
133669,Florida Atlantic University,2015,49,25471,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102293,26.372536,NA,30380,5740,1287,17308,13072,11125,14346,4923,1076,6566,5166,5851,13571,16116,7145,8971,25471
133669,Florida Atlantic University,2014,46,25490,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102293,26.372536,NA,30297,5678,1318,17277,13020,11169,14307,4900,1112,6434,5355,6091,14031,15561,6974,8587,25476
133669,Florida Atlantic University,2013,41,25793,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.102293,26.372536,NA,30759,5541,1310,17581,13178,11296,14494,4756,1093,6367,5549,6455,14772,15891,7187,8704,25790
133951,Florida International University,2019,63,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,58711,7316,1551,33527,25184,21421,27905,6120,1157,33033,1931,2437,5973,28335,12129,16206,49326
133951,Florida International University,2018,58,48818,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,57942,7235,1539,33090,24852,21219,27599,6052,1152,32877,1818,2305,5708,27906,12013,15893,48818
133951,Florida International University,2017,57,47629,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.373928,25.75732,NA,56718,7150,1487,32541,24177,20532,27097,6024,1120,32158,1801,2314,5805,26655,11563,15092,47629
133951,Florida International University,2016,56,45856,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.377591,25.757111,NA,55003,6828,1480,31250,23753,19950,25906,5723,1130,30864,1879,2252,5864,26312,11468,14844,45856
133951,Florida International University,2015,58,41032,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.377591,25.757111,NA,49782,6082,1364,27924,21858,18204,22828,5041,1032,27306,1757,2168,5603,25638,11302,14336,41032
133951,Florida International University,2014,54,41009,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.377591,25.757111,NA,49610,5977,1434,27757,21853,18167,22842,4995,1086,27451,1818,2127,5683,25644,11207,14437,41009
133951,Florida International University,2013,52,39142,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-80.377591,25.757111,NA,47663,5741,1381,26599,21064,17427,21715,4728,1059,26160,1871,2100,5802,25954,11419,14535,39142
134097,Florida State University,2019,83,NA,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,42450,3837,1189,24296,18154,14356,18914,2932,896,7150,8679,11085,24969,29879,12593,17286,33270
134097,Florida State University,2018,83,32472,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41269,3653,1108,23410,17859,14191,18545,2817,829,6881,8662,10990,24500,29301,12395,16906,32736
134097,Florida State University,2017,80,33008,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41362,3462,1045,23073,18289,14625,18383,2719,786,6662,9207,11114,25054,29286,12700,16586,33008
134097,Florida State University,2016,80,32933,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.291921,30.440756,NA,41173,3486,1017,22868,18305,14688,18245,2741,783,6526,9364,11173,25262,29281,12755,16526,32933
134097,Florida State University,2015,79,32706,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40830,3302,1017,22460,18370,14710,17996,2611,783,6205,9593,11323,25711,29185,12778,16407,32706
134097,Florida State University,2014,79,32948,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,41226,3377,1029,22645,18581,14861,18087,2669,808,5872,9936,11586,26466,29211,12820,16391,32948
134097,Florida State University,2013,77,32528,FL,12,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-84.294801,30.4421,NA,40909,3487,1034,22502,18407,14627,17901,2769,820,5497,9895,11682,26739,28910,12669,16241,32528
151351,Indiana University-Bloomington,2019,79,NA,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526559,39.16609,NA,43260,1908,2687,21159,22101,16753,16331,1483,2141,2360,11512,11158,28375,31981,16133,15848,33084
151351,Indiana University-Bloomington,2018,78,33301,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526559,39.16609,NA,43503,1921,2534,21306,22197,16752,16549,1518,1928,2155,11568,11379,28669,32109,16156,15953,33301
151351,Indiana University-Bloomington,2017,77,33429,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526559,39.16609,NA,43710,1929,2335,21241,22469,16894,16535,1485,1734,1999,11767,11433,28916,32212,16234,15978,33429
151351,Indiana University-Bloomington,2016,76,39184,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526904,39.166383,NA,49695,2097,2518,24775,24920,19200,19984,1661,1913,2121,13667,14084,33498,32005,16131,15874,39184
151351,Indiana University-Bloomington,2015,77,38364,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526904,39.166383,NA,48514,1903,2150,24364,24150,18688,19676,1508,1588,1820,12739,13147,31589,31728,15877,15851,38364
151351,Indiana University-Bloomington,2014,78,36419,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526904,39.166383,NA,46416,1794,2008,23317,23099,17803,18616,1413,1512,1672,12930,13593,32242,31370,15629,15741,36419
151351,Indiana University-Bloomington,2013,77,36862,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-86.526904,39.166383,NA,46817,1863,1852,23676,23141,17927,18935,1496,1375,1594,13218,13988,32928,31050,15417,15633,36862
159391,Louisiana State University and Agricultural & Mechanical College,2019,68,NA,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.178921,30.414986,NA,31756,4239,1344,17074,14682,12164,13662,3464,1200,1833,8533,9168,20984,22726,10618,12108,25826
159391,Louisiana State University and Agricultural & Mechanical College,2018,67,25233,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.178921,30.414986,NA,30983,3867,1270,16557,14426,11920,13313,3187,1120,1664,8498,9075,20789,22418,10536,11882,25233
159391,Louisiana State University and Agricultural & Mechanical College,2017,67,25444,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.178921,30.414986,NA,30861,3772,1219,16270,14591,12194,13250,3144,1094,1583,8850,9340,21248,22060,10561,11499,25444
159391,Louisiana State University and Agricultural & Mechanical College,2016,68,26118,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.178921,30.414986,NA,31409,3741,1211,16525,14884,12471,13647,3190,1099,1581,9180,9700,21956,23212,11004,12208,26118
159391,Louisiana State University and Agricultural & Mechanical College,2015,67,26156,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.178921,30.414983,NA,31524,3703,1214,16429,15095,12611,13545,3156,1092,1551,9310,9675,22123,23602,11298,12304,26156
159391,Louisiana State University and Agricultural & Mechanical College,2014,67,25572,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.196656,30.552111,NA,31044,3496,1086,15969,15075,12466,13106,2934,963,1428,9438,9526,22194,23195,11213,11982,25572
159391,Louisiana State University and Agricultural & Mechanical College,2013,69,24923,LA,22,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-91.196656,30.552111,NA,30478,3319,962,15685,14793,12080,12843,2774,851,1245,9347,9465,22168,22811,10979,11832,24923
237525,Marshall University,2019,49,NA,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.428964,38.422482,NA,12852,604,163,7689,5163,3945,5470,470,101,186,3198,4633,10451,7123,3077,4046,9415
237525,Marshall University,2018,46,9593,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.428964,38.422482,NA,13204,670,142,7856,5348,4070,5523,525,83,193,3266,4624,10546,7460,3220,4240,9593
237525,Marshall University,2017,49,9489,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.428964,38.422482,NA,13246,695,142,7794,5452,4003,5486,554,70,211,3195,4559,10479,7846,3398,4448,9489
237525,Marshall University,2016,45,9615,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.428964,38.422482,NA,13647,737,162,7962,5685,4115,5500,602,78,192,3297,4583,10799,7997,3488,4509,9615
237525,Marshall University,2015,45,9518,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.43065,38.42261,NA,13621,730,153,7919,5702,4071,5447,601,70,195,3255,4511,10770,8005,3478,4527,9518
237525,Marshall University,2014,44,9536,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.43065,38.42261,NA,13381,738,157,7833,5548,4131,5405,608,71,182,3389,4567,10948,8142,3585,4557,9536
237525,Marshall University,2013,44,9756,WV,54,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-82.43065,38.42261,NA,13407,687,162,7850,5557,4245,5511,581,78,195,3499,4658,11104,8268,3644,4624,9756
204024,Miami University-Oxford,2019,81,NA,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.732954,39.507757,NA,19716,751,467,10360,9356,8649,8597,615,411,877,6070,6331,14100,16682,8354,8328,17246
204024,Miami University-Oxford,2018,80,17327,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.732954,39.507757,NA,19934,706,443,10462,9472,8677,8650,593,384,821,5976,6242,14051,16714,8365,8349,17327
204024,Miami University-Oxford,2017,79,17147,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.732954,39.507757,NA,19700,658,442,10350,9350,8549,8598,539,372,770,5980,6253,14040,16619,8281,8338,17147
204024,Miami University-Oxford,2016,78,16981,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.731821,39.509642,NA,19697,649,431,10490,9207,8381,8600,521,361,681,6083,6387,14444,16434,8100,8334,16981
204024,Miami University-Oxford,2015,80,16387,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.731821,39.509642,NA,19076,594,407,10213,8863,8092,8295,483,344,628,6052,6372,14433,16023,7871,8152,16387
204024,Miami University-Oxford,2014,79,15813,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.731821,39.509642,NA,18620,608,358,10003,8617,7798,8015,499,299,537,6038,6364,14546,15311,7522,7789,15813
204024,Miami University-Oxford,2013,81,15462,OH,39,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.731821,39.509642,NA,17901,662,313,9662,8239,7470,7992,565,275,509,6006,6479,14311,15001,7215,7786,15462
185572,Monmouth University,2019,73,NA,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA,5953,348,188,3785,2168,1817,2633,229,119,615,1282,1824,4133,4301,1756,2545,4450
185572,Monmouth University,2018,69,4630,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA,6167,331,201,3845,2322,1962,2668,219,137,631,1388,1876,4316,4448,1880,2568,4630
185572,Monmouth University,2017,70,4706,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA,6340,356,209,3991,2349,1978,2728,228,141,630,1399,1946,4455,4502,1888,2614,4706
185572,Monmouth University,2016,70,4707,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA,6371,374,238,3939,2432,2035,2672,252,163,574,1450,1924,4469,4490,1924,2566,4707
185572,Monmouth University,2015,67,4693,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA,6394,344,223,4029,2365,1963,2730,233,150,522,1434,2040,4631,4450,1862,2588,4693
185572,Monmouth University,2014,67,4634,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA,6395,351,215,4073,2322,1878,2756,218,129,469,1398,2119,4703,4370,1775,2595,4634
185572,Monmouth University,2013,61,4607,NJ,34,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",3,-74.006447,40.280066,NA,6316,334,203,4031,2285,1881,2726,208,116,430,1434,2109,4715,4304,1761,2543,4607
157401,Murray State University,2019,55,NA,KY,21,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",3,-88.323629,36.612419,NA,9556,551,72,5956,3600,3145,4994,460,59,184,2508,4052,7684,6190,2450,3740,8139
157401,Murray State University,2018,55,8142,KY,21,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",3,-88.323629,36.612419,NA,9454,554,79,5740,3714,3237,4819,461,61,176,2619,3968,7689,6236,2529,3707,8056
