"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS17-01-11-000332","UPD-170036","01/11/17 13:54","01/11/17 10:10","SOUTH GREEN DR. AT RICHLAND Common Name: WALTER LECTURE HALL Location Detail: ROOM 145, Athens, OH 45701","CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-11-000341","UPD","01/11/17 17:18","","S. COLLEGE STREET Common Name: RADIO-TELEVISION Location Detail: ROOM 587, 5934985, Athens, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-11-000343","UPD","01/11/17 19:57","","COURT STREET Common Name: COURT STREET, Athens, OH 45701","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-11-000346","UPD","01/11/17 21:45","","UNION STREET Common Name: UNION STREET Location Detail: AT CONGRESS ST","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-11-000349","UPD-170037","01/11/17 23:18","01/11/17 23:18","22 UNIVERSITY TERRACE Common Name: BRYAN HALL Location Detail: ROOM 421, Athens, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-12-000353","UPD-170038","01/12/17 02:35","01/12/17 02:35","UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: AT SCOTT QUAD, Athens, OH 45701","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-12-000356","UPD-170039","01/12/17 02:54","01/01/00 00:00","101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: ROOM 312, Athens, OH 45701","INTOXICATED PERSON","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-12-000365","UPD-170040","01/12/17 09:26","01/12/17 09:26","1 PARK PLACE Common Name: BAKER STUDENT CENTER Location Detail: FRONT ROOM, Athens, OH 45701","TRESPASSING OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-12-000366","UPD","01/12/17 09:55","","S. COLLEGE STREET Common Name: RADIO-TELEVISION Location Detail: ROOM 581, Athens, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-12-000370","UPD","01/12/17 12:09","","1 PARK PLACE Common Name: BAKER STUDENT CENTER Location Detail: ROOM 533, Athens, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
