date_reported,date_occurred,time_occurred,time_reported,case_number,location,incident,university
2018-03-14,2018-03-14,07:00,09:30,18mu02248,ocean first bank center,criminal mischief,Monmouth University
2018-03-19,2018-03-02,15:45,11:41,18mu02354,student center,theft,Monmouth University
2018-03-14,NA,NA,10:15,18mu02381,beechwood hall,dv simple assalt/harassment,Monmouth University
2018-03-20,2020-03-14,NA,10:50,18mu02409,laurel hall,fraud (bad checks),Monmouth University
2018-03-25,2018-03-25,00:10,00:10,18mu02497,cedar hall,pula / student misconduct,Monmouth University
2018-03-25,2018-03-25,01:32,01:32,18mu02499,mullaney hall,pula / student misconduct,Monmouth University
2018-03-26,2018-03-26,13:07,13:40,18mu02535,lot 11,student misconduct,Monmouth University
2018-03-27,2020-03-20,08:00,18:20,18mu02581,elmwood hall,theft,Monmouth University
2018-03-29,2018-03-29,16:20,16:20,18mu02647,resident parking lot,theft,Monmouth University
2018-04-06,NA,NA,13:34,18mu02862,lot 14,criminal mischief / harassment,Monmouth University
2018-04-06,2018-04-06,13:59,13:49,18mu02863,hesse hall,student misconduct,Monmouth University
2018-04-09,2018-04-09,15:55,16:30,18mu02946,lot 3,harassment,Monmouth University
2018-04-09,2018-04-09,12:30,21:15,18mu02955,lot 14,criminal mischief,Monmouth University
2018-04-10,2018-04-06,14:41,16:11,18mu02977,campus,harassment,Monmouth University
2018-04-10,2018-04-10,19:53,19:53,18mu02982,beechwood hall,poss of wpn (knife) at edu int/stud mis,Monmouth University
2018-04-12,2018-04-04,12:30,11:15,18mu03036,ocean first bank center,theft,Monmouth University
2018-04-13,2018-04-13,04:44,04:44,18mu03055,mullaney hall,pula / student misconduct,Monmouth University
2018-04-14,2018-04-14,01:30,01:50,18mu03084,willow hall,pula / student misconduct,Monmouth University
2018-04-14,2018-04-14,01:50,01:50,18mu03085,willow hall,poss. of cds / student misconduct,Monmouth University
2018-04-14,2018-04-14,22:44,22:44,18mu03106,elmwood hall,criminal mischief,Monmouth University
2018-04-14,2018-04-14,22:55,22:55,18mu03107,pinewood hall,criminal mischief,Monmouth University
2018-04-14,2018-04-15,20:40,20:40,18mu03129,laurel hall,poss. cds,Monmouth University
2018-04-16,2018-04-16,13:24,13:24,18mu03150,wilson traffic booth,student misconduct,Monmouth University
2018-04-16,2018-04-16,16:48,16:48,18mu03206,beechwood hall,theft by deception (attempted),Monmouth University
2018-04-20,2018-04-20,16:40,16:44,18mu03278,mullaney hall,poss of cds/para/pula/stud mis,Monmouth University
2018-04-18,2018-04-18,06:21,08:00,18mu03202,student center,leaving the scene/failure to report mva,Monmouth University
