incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
Burglary/Conveyance;,2015-0281,2015-09-21,13:55,2015-09-20,23:30,The Flats,University of North Florida
Burglary/Conveyance;,2015-0278,2015-09-21,07:00,2015-09-20,20:00,The Flats,University of North Florida
Burglary/Conveyance;,2015-0274,2015-09-21,06:30,2015-09-20,20:00,The Flats,University of North Florida
Burglary/Conveyance;,2015-0279,2015-09-21,06:30,2015-09-20,20:45,The Flats,University of North Florida
Burglary/Conveyance;,2015-0273,2015-09-21,06:25,2015-09-20,20:00,The Flats,University of North Florida
Burglary/Conveyance;,2015-0275,2015-09-21,06:25,2015-09-20,20:00,The Flats,University of North Florida
Burglary/Conveyance;,2015-0276,2015-09-21,06:25,2015-09-20,20:00,The Flats,University of North Florida
Burglary/Conveyance;,2015-0277,2015-09-21,06:25,2015-09-20,20:00,The Flats,University of North Florida
Burglary/Conveyance;,2015-0280,2015-09-21,06:00,2015-09-21,01:30,The Flats,University of North Florida
Driving While License,9767-GYD,2015-09-20,13:40,2015-09-20,13:40,1 UNF Dr @ Lot 100,University of North Florida
Petit Theft,2015-0272,2015-09-20,12:03,2015-09-19,12:00,Bldg 58E,University of North Florida
Possess Not More 20 grams of marijuana,2015-0271,2015-09-20,01:54,2015-09-20,01:07,1 UNF Drive,University of North Florida
Grand Theft,2015-0267,2015-09-17,10:15,2015-09-16,10:41,Bldg 58,University of North Florida
Criminal Mischief,2015-0266,2015-09-17,04:00,2015-09-17,03:20,Osprey Hall,University of North Florida
Assault/Agg/With a,2015-0266,2015-09-17,04:00,2015-09-17,03:20,Osprey Hall,University of North Florida
Information,2015-0263,2015-09-15,09:30,2015-09-15,09:30,Bldg 17,University of North Florida
Petit Theft,2015-0261,2015-09-14,15:11,2015-09-14,09:30,Lot 5,University of North Florida
Property-Lost,2015-0260,2015-09-13,11:40,2015-09-11,20:00,Lot 12,University of North Florida
Petit Theft,2015-0259,2015-09-11,14:30,2015-09-08,19:00,Lot 11,University of North Florida
Petit Theft,2015-0257,2015-09-10,15:40,2015-09-10,08:30,Garage 44,University of North Florida
Petit Theft,2015-0256,2015-09-10,11:40,2015-09-07,12:15,Osprey Cove,University of North Florida
Driving While License suspended,A0Y4VRP,2015-09-10,09:10,2015-09-10,09:10,Varsity Ln @ UNF Dr,University of North Florida
Petit Theft,2015-0255,2015-09-10,08:40,2015-09-01,17:30,Lot 5,University of North Florida
Petit Theft,2015-0254,2015-09-09,12:29,2015-09-01,22:00,Bldg 42,University of North Florida
Petit Theft,2015-0253,2015-09-08,08:31,2015-09-03,08:00,Bldg 2,University of North Florida
Information,2015-0252,2015-09-07,11:18,2015-09-07,11:18,Bldg 41,University of North Florida
"Use, or Possess with intent to use drug paraphernalia",2015-0251,2015-09-06,16:07,2015-09-06,13:55,Lot 55,University of North Florida
Theft of Motor Vehicle,2015-0250,2015-09-05,22:52,2015-09-05,20:30,Bldg 38,University of North Florida
Property Damaged,2015-0249,2015-09-05,08:31,2015-09-05,08:31,Bldg 48,University of North Florida
Information,2015-0248,2015-09-04,00:21,2015-09-03,22:00,1 UNF Drive,University of North Florida
Petit Theft,2015-0247,2015-09-03,21:46,2015-09-03,18:30,Bldg 16,University of North Florida
Burglary/Structure,2015-0244,2015-09-02,12:40,2015-09-02,09:30,Osprey Fountains,University of North Florida
Possesion of a firearm,2015-0242,2015-09-01,15:30,2015-09-01,02:00,Osprey Cove,University of North Florida
Driving While License suspended,9765-GYD,2015-08-25,13:50,2015-08-25,13:50,1 UNF Dr @ Lot 5,University of North Florida
Driving While License suspended,8125-GMM,2015-08-25,10:15,2015-08-25,10:15,Varsity Ln @ UNF Dr,University of North Florida
Unlawful Disp of,A0Y4WNP,2015-08-18,14:10,2015-08-18,14:10,UNF Dr Gar 38,University of North Florida
No Veh Reg-No tag,A0Y4WDP,2015-08-01,14:40,2015-08-01,14:40,unf Dr @ Eco Rd,University of North Florida
No,A0Y4WEP,2015-08-01,14:40,2015-08-01,14:40,UNF Dr @ Eco Rd,University of North Florida
Driving While License suspended,9763-GYD,2015-07-07,10:00,NA,NA,1 UNF Dr,University of North Florida
Driving While License suspended,A0Y5CJP,2015-07-07,09:00,2015-07-07,09:00,unf Dr @ Garage 38,University of North Florida
