incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
Theft,2018-0285,2018-12-06,03:16,2018-12-04,20:00,Lot 11,University of North Florida
Theft,2018-0281,2018-12-03,14:30,2018-11-30,17:00,BLDG 50,University of North Florida
Possession Marijuana,2018-0279,2018-12-02,13:07,2018-12-02,13:07,North Entrance,University of North Florida
Grand Theft,2018-0275,2018-11-28,17:10,2018-11-28,14:30,BLDG 39,University of North Florida
Criminal Mischief,2018-0272,2018-11-27,20:41,2018-11-27,18:00,BLDG 58,University of North Florida
DUI,2018-0268,2018-11-27,14:25,2018-11-27,14:25,St Johns Bluff Rd N,University of North Florida
Petit Theft,2018-0271,2018-11-27,12:32,2018-11-12,12:32,BLDG 51,University of North Florida
Petit Theft,2018-0270,2018-11-27,11:36,2018-11-21,15:00,BLDG 51,University of North Florida
Petit Theft,2018-0269,2018-11-27,11:22,2018-11-26,13:30,Bldg 12,University of North Florida
Petit Theft,2018-0270,2018-11-22,11:36,2018-11-21,15:00,BLDG 51,University of North Florida
Theft,2018-0264,2018-11-19,15:15,2018-11-02,15:00,Lot 18,University of North Florida
Noo Crimes Reporte,NA,NA,NA,NA,NA,NA,University of North Florida
Grand Theft-Bicycle,2018-0251,2018-11-13,09:11,2018-11-12,17:00,12200 Alumni Dr,University of North Florida
Possess Marijuana,2018-0248,2018-11-11,16:39,2018-11-11,16:28,4850 First Coast,University of North Florida
Possess Marijuana,2018-0247,2018-11-11,14:25,2018-11-11,14:25,4654 Osprey Ridge,University of North Florida
Possession of Less than 20 gr marijuana,2018-0240,2018-11-05,22:00,2018-11-05,22:00,11800 U N F Dr # 308,University of North Florida
Petit Theft,2018-0180,2018-11-02,04:05,2018-11-02,04:05,Bldg 15 Rm 3204,University of North Florida
Theft,2018-0232,2018-10-25,11:57,2018-10-23,23:00,Osprey Landing X,University of North Florida
Possess Marijuana,2018-0227,2018-10-22,12:48,2018-10-23,12:48,Osprey Cove,University of North Florida
Petit Theft,2018-0270,2018-11-27,11:36,2018-11-21,15:00,BLDG 51,University of North Florida
Petit Theft,2018-0269,2018-11-27,11:22,2018-11-26,13:30,Bldg 12,University of North Florida
Petit Theft,2018-0270,2018-11-22,11:36,2018-11-21,15:00,BLDG 51,University of North Florida
Theft,2018-0264,2018-11-19,15:15,2018-11-02,15:00,Lot 18,University of North Florida
Noo Crimes Reporte,NA,NA,NA,NA,NA,NA,University of North Florida
Grand Theft-Bicycle,2018-0251,2018-11-13,09:11,2018-11-12,17:00,12200 Alumni Dr,University of North Florida
Possess Marijuana,2018-0248,2018-11-11,16:39,2018-11-11,16:28,4850 First Coast,University of North Florida
Possess Marijuana,2018-0247,2018-11-11,14:25,2018-11-11,14:25,4654 Osprey Ridge,University of North Florida
Possession of Less than 20 gr marijuana,2018-0240,2018-11-05,22:00,2018-11-05,22:00,11800 U N F Dr # 308,University of North Florida
Petit Theft,2018-0180,2018-11-02,04:05,2018-11-02,04:05,Bldg 15 Rm 3204,University of North Florida
Theft,2018-0232,2018-10-25,11:57,2018-10-23,23:00,Osprey Landing X,University of North Florida
