date_reported,incident,time_occurred,case_number,date_occurred,time_reported,location,university
2017-02-18,"destruction / damage / vandalism of property, off campus, 35 professors row, med/som",13:35,17tum‐96‐of,2017-02-18,NA,NA,Tufts University
2017-02-17,"burglary / breaking and entering, off campus, dearborn rd, somerville",05:20,17tum‐90‐of,2017-02-17,NA,NA,Tufts University
2017-02-15,"act of intolerance, race/ethnicity/nat'l origin (university policy), off campus, boston ave, medford",19:40,17tum‐81‐of,2017-02-14,NA,NA,Tufts University
2017-02-15,"destruction / damage / vandalism of property, off campus, 20 talbot ave, med/som",16:07,17tum‐82‐of,2017-02-15,NA,NA,Tufts University
2017-02-15,"simple assault, off campus, professors row, med/som",16:05,17tum‐84‐of,2017-02-15,NA,NA,Tufts University
2017-04-09,"destruction / damage / vandalism of property, off campus, 30 lower campus rd, med/som",01:10,17tum‐215‐of,2017-04-09,NA,NA,Tufts University
2017-04-08,"aggravated assault, off campus, , med/som",00:32,17tum‐211‐of,2017-04-08,NA,NA,Tufts University
2017-04-08,"aggravated assault, off campus, boston ave, medford",01:07,17tum‐212‐of,2017-04-08,NA,NA,Tufts University
2017-04-04,"theft from building, off campus, 35 professors row, med/som",12:00,17tum‐199‐of,2017-04-04,NA,NA,Tufts University
2017-04-04,"theft from building, off campus, 35 professors row, med/som",11:45,17tum‐201‐of,2017-04-04,NA,NA,Tufts University
2017-04-03,"theft from building, off campus, 8 upper campus rd, med/som",11:00,17tum‐197‐of,2016-11-21,NA,NA,Tufts University
2017-04-02,"robbery, off campus, warner st, somerville",01:19,17tum‐193‐of,2017-04-02,NA,NA,Tufts University
2017-03-30,"traffic, town by‐law offenses, off campus, 160 college ave, med/som",14:00,17tum‐186‐of,2017-03-30,NA,NA,Tufts University
2017-03-29,"traffic, town by‐law offenses, off campus, 1 winthrop st, med/som",09:00,17tum‐180‐of,2017-03-29,NA,NA,Tufts University
2017-03-27,"act of intolerance, sexual orientation (university policy), off campus, 35 professors row, med/som",09:00,17tum‐175‐of,2017-03-27,NA,NA,Tufts University
2017-03-24,"theft from building, off campus, 25 latin way, med/som",10:30,17tum‐173‐of,2017-03-15,NA,NA,Tufts University
2017-03-17,"glue/toxic substance, inhale, off campus, 126 packard ave, med/som",00:06,17tum‐167‐of,2017-03-17,NA,NA,Tufts University
2017-03-14,"destruction / damage / vandalism of property, off campus, 25 latin way, med/som",14:00,17tum‐161‐of,2017-03-10,NA,NA,Tufts University
2017-03-13,"destruction / damage / vandalism of property, off campus, 30 lower campus rd, med/som",08:00,17tum‐157‐of,2016-02-13,NA,NA,Tufts University
2017-03-12,"trespass of real property, off campus, 85 packard ave, med/som",01:30,17tum‐15‐ar,2017-03-12,NA,NA,Tufts University
2017-03-10,"destruction / damage / vandalism of property, off campus, 29 latin way, med/som",23:30,17tum‐148‐of,2017-03-09,NA,NA,Tufts University
2017-03-10,"theft from building, off campus, 200 packard ave, med/som",10:51,17tum‐152‐of,2017-03-10,NA,NA,Tufts University
2017-03-07,"destruction / damage / vandalism of property, off campus, 20 talbot ave, med/som",18:00,17tum‐142‐of,2017-03-06,NA,NA,Tufts University
2017-03-06,"destruction / damage / vandalism of property, off campus, 200 packard ave, med/som",06:33,17tum‐139‐of,2017-03-06,NA,NA,Tufts University
2017-03-06,"larceny, other type, off campus, winthrop st, medford",22:00,17tum‐140‐of,2017-03-05,NA,NA,Tufts University
2017-03-06,"burglary / breaking and entering, off campus, 180 packard ave, med/som",17:42,17tum‐141‐of,2017-03-06,NA,NA,Tufts University
2017-02-28,"theft from building, off campus, 25 latin way, med/som",19:00,17tum‐125‐of,2017-02-26,NA,NA,Tufts University
2017-02-26,"weapon law violations, off campus, 419 boston ave, med/som",03:00,17tum‐121‐of,2017-02-26,NA,NA,Tufts University
2017-02-25,"theft from building, off campus, 29 latin way, med/som",12:00,17tum‐120‐of,2017-02-25,NA,NA,Tufts University
2017-02-23,"larceny, other type, off campus, 40 talbot ave, med/som",14:49,17tum‐112‐of,2017-02-23,NA,NA,Tufts University
2017-02-22,"destruction / damage / vandalism of property, off campus, 2 the green , med/som",08:45,17tum‐108‐of,2017-02-21,NA,NA,Tufts University
2017-04-11,"destruction / damage / vandalism of property, off campus, 20 talbot ave, med/som",17:00,17tum‐223‐of,2017-04-10,NA,NA,Tufts University
2017-04-11,"larceny, other type, off campus, 200 college ave, med/som",18:30,17tum‐224‐of,2017-04-11,NA,NA,Tufts University
2017-04-09,"trespass of real property, off campus, 44 professors row, med/som",00:30,17tum‐16‐ar,2017-04-09,NA,NA,Tufts University
2017-04-07,"theft from building, off campus, 200 packard ave, med/som",06:00,17tum‐208‐of,2017-04-07,NA,NA,Tufts University
2017-04-17,"theft from motor vehicle, off campus, 40 lower campus rd, med/som",19:00,17tum‐241‐of,2017-04-16,NA,NA,Tufts University
2017-04-15,"destruction / damage / vandalism of property, off campus, 200 packard ave, med/som",21:16,17tum‐235‐of,2017-04-15,NA,NA,Tufts University
2017-04-20,"forcible rape, off campus,",00:00,17tum‐248‐of,2016-09-28,NA,NA,Tufts University
2017-04-26,"false pretenses / swindle / confidence game, off campus, 419 boston ave, med/som",14:43,17tum‐265‐of,2017-04-09,NA,NA,Tufts University
2017-04-25,"act of intolerance, sexual orientation (university policy), off campus, 40 talbot ave, med/som",17:00,17tum‐263‐of,2017-04-22,NA,NA,Tufts University
2017-04-24,"larceny, other type, off campus, 160r college ave, med/som",17:45,17tum‐259‐of,2017-04-24,NA,NA,Tufts University
2017-04-20,"theft from building, off campus, 35 professors row, med/som",12:00,17tum‐247‐of,2016-09-01,NA,NA,Tufts University
2017-04-16,"destruction / damage / vandalism of property, off campus, 200 packard ave, med/som",12:00,17tum‐238‐of,2017-04-15,NA,NA,Tufts University
2017-04-30,"act of intolerance, other (university policy), off campus, the green , med/som",16:00,17tum‐287‐of,2017-04-29,NA,NA,Tufts University
2017-05-01,"larceny, other type, off campus, 85 packard ave, med/som",19:47,17tum‐292‐of,2017-05-01,NA,NA,Tufts University
2017-05-08,"intimidation, off campus, 43 latin way, med/som",23:48,17tum‐306‐of,2017-05-07,NA,NA,Tufts University
2017-05-04,"larceny, other type, off campus, 200 packard ave, med/som",15:05,17tum‐299‐of,2017-05-04,NA,NA,Tufts University
2017-05-04,"abuse prevention order, violate, off campus, emery st, medford",18:14,17tum‐300‐of,2017-05-04,NA,NA,Tufts University
2017-05-04,"computer system, unauthorized access to, off campus, 1 the green , med/som",20:36,17tum‐301‐of,2017-05-04,NA,NA,Tufts University
2017-05-13,"destruction / damage / vandalism of property, off campus, 85 packard ave, med/som",02:50,17tum‐319‐of,2017-05-13,NA,NA,Tufts University
2017-05-13,"destruction / damage / vandalism of property, off campus, 15 talbot ave, med/som",08:45,17tum‐322‐of,2017-05-13,NA,NA,Tufts University
2017-05-11,"suspicion of drug use (university policy), off campus, 40 lower campus rd, med/som",13:30,17tum‐312‐of,2017-05-11,NA,NA,Tufts University
2017-05-11,"destruction / damage / vandalism of property, off campus, 30 lower campus rd, med/som",20:00,17tum‐314‐of,2017-05-11,NA,NA,Tufts University
