case_number,date_reported,time_reported,date_occurred,time_occurred,location,university,incident
14-431,2014-03-14,02:15,2014-03-14,03:26,"Peabodys Coffee At Peterson Gym, 5340 55TH St, San Diego",San Diego State University,Shoplift Petty Theft
14-432,2014-03-15,03:31,2014-03-15,03:35,"5100 55TH St, San Diego",San Diego State University,Drive W/License Suspended Expired Registration
14-435,2014-03-16,03:04,2014-03-16,03:34,"5400 55TH Street, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
14-438,2014-03-17,03:40,2014-03-17,03:57,"North Art, 5730 Avenue Of Arts, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
14-442,2014-03-17,03:29,2014-03-12,07:00,"5300 55TH St, San Diego",San Diego State University,Drive W/O License
14-447,2014-03-17,04:32,2014-03-17,04:59,"Storm Hall West, 5440 Scripps Terrace, San Diego",San Diego State University,Attempted Petty Theft Vandalism Less than $400 Poss of Cntl Sub w/o Prescript
14-448,2014-03-17,07:34,2014-03-17,08:16,"Parking Structure 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
14-450,2014-03-18,05:33,2014-03-18,05:33,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Fight In Public Place
14-452,2014-03-18,00:53,2014-03-18,01:15,"B Lot, 5260 Campanile Dr, San Diego",San Diego State University,Petty Theft Rec Knwn Stoln Prop -$950 Possess Unlawful Paraphernalia
14-455,2014-03-18,09:26,2014-03-18,09:26,"Ralphs Grocery, 6670 Montezuma Rd, San Diego",San Diego State University,Poss/Use False Id Of Age
14-459,2014-03-19,00:00,2014-03-19,00:38,"East Commons, 5965 Aztec Circle Dr, San Diego",San Diego State University,Robbery:first Degree
14-460,2014-03-19,01:28,2014-03-19,02:08,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
14-461,2014-03-19,00:43,2014-03-19,00:43,"Montezuma RD/55TH, San Diego",San Diego State University,Poss Cntrl Subst w/o Prescpt (M)
14-462,2014-03-20,02:12,2014-03-20,02:12,"5800 Montezuma Rd, San Diego",San Diego State University,Possess Concentrated Cannabis-M
14-465,2014-03-20,05:20,2014-03-20,05:15,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
14-471,2014-03-22,09:37,2014-03-21,09:00,"Delta Zeta Sorority, 5082 College Av, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
14-472,2014-03-22,00:43,2014-03-22,01:06,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Threaten Crime w/Intent to Terrorize Obstruct/Resist Exec Off
14-474,2014-03-23,02:38,2014-03-23,03:03,"4900 Yerba Santa Dr, San Diego",San Diego State University,Drive W/O License
14-475,2014-03-23,03:21,2014-03-23,03:00,"Fraternity Row, 5255 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-477,2014-03-23,02:33,2014-03-23,02:33,"4734 College Av, San Diego",San Diego State University,Drive W/O License
14-482,2014-03-24,07:26,2014-03-24,07:26,"East Commons, 5965 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Petty Theft
14-485,2014-03-25,01:55,2014-03-25,01:55,Connecticut/Lake Murray,San Diego State University,DUI Alcohol
14-490,2014-03-26,01:44,2014-03-26,01:44,"Parking Lot A, 6000 Canyon Crest Dr, San Diego",San Diego State University,Drive W/License Suspended
14-499,2014-03-26,03:07,2014-03-26,01:08,"Pontiac St/College Av, San Diego",San Diego State University,Drive W/License Suspended Expired Registration
14-504,2014-03-27,06:07,2014-03-27,06:05,"4.0 Deli, 5844 Montezuma Rd, San Diego",San Diego State University,Drive W/O License Drive W/License Suspended
14-518,2014-03-29,04:03,2014-03-29,03:30,"The Granada Apartments, 5525 Hardy Av, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
14-521,2014-03-30,03:53,2014-03-30,04:52,"5100 Campanile Dr, San Diego",San Diego State University,Drive Wrong Way:div Hwy Drive W/O License
14-524,2014-03-31,03:09,2014-03-31,03:15,"5100 55TH St, San Diego",San Diego State University,Drive W/License Suspended
14-525,2014-03-31,00:38,2014-03-31,00:38,"Montezuma Pl/Montezuma Rd, San Diego",San Diego State University,Drive W/License Suspended
14-527,2014-04-01,00:17,2014-04-01,00:17,"5800 Montezuma Rd, San Diego",San Diego State University,Possess Unlawful Paraphernalia
14-534,2014-04-04,01:22,2014-04-04,03:14,"Montezuma Rd/East Campus Dr, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
14-536,2014-04-04,05:40,2014-04-04,05:24,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,"Battery: Spouse/Ex Spouse/Date,etc."
14-538,2014-04-05,02:38,2014-04-05,03:03,"Alvarado Ct/Alvarado Rd, San Diego",San Diego State University,Possess Concentrated Cannabis-M
14-557,2014-04-09,08:28,2014-04-09,08:15,"Parking Structure 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vehicle Theft
14-560,2014-04-10,00:32,2014-04-10,00:46,"La Dorna St/Montezuma Rd, San Diego",San Diego State University,Possess Unlawful Paraphernalia
14-565,2014-04-10,08:22,2014-04-10,08:35,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Poss Cntrlld Substnc Paraphernalia Outside Agency Bench Warrant
14-579,2014-04-11,02:16,2014-04-11,00:40,"5200 E Falls View Dr, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
14-598,2014-04-14,05:07,2014-04-13,02:00,"Cuicacalli Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,Rape By Force/Fear/Etc
14-619,2014-04-19,01:03,2014-04-19,01:10,"Fraternity Row, 5255 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-625,2014-04-19,06:54,NA,NA,"Scripps Cottage, 5325 Scripps Terrace, San Diego",San Diego State University,Cruelty To Animals
14-630,2014-04-20,09:58,2014-04-19,09:30,"Sanctuary Apartments, 5840 Hardy Av, San Diego",San Diego State University,Vehicle Theft Rec Knwn Stoln Prop $950+
14-633,2014-04-20,09:37,2014-04-20,09:37,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,False Imprison W/Violence Threaten Crime w/Intent to Terrorize
14-64,2014-01-17,03:34,2013-01-18,00:04,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Possess Narcotic Cntl Sub Dui Alcohol/0.08 Percent Poss Marij Und 28.5 Grams
14-646,2014-04-23,01:41,2014-04-23,01:41,"Collwood Bl/Montezuma Rd, San Diego",San Diego State University,DUI Drug Impersonate Chp Officer
14-656,2014-04-25,01:26,2014-04-25,01:52,"5960 El Cajon Blvd, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
14-658,2014-04-25,02:49,2014-04-25,03:19,"7-ELEVEN, 5141 College Av, San Diego",San Diego State University,"Battery: Spouse/Ex Spouse/Date,etc."
14-661,2014-04-25,09:37,2014-04-25,03:00,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Possess Narcotic Cntl Sub
