year,university,sector_desc,sector_cd,noncampus_weapon,noncampus_drug,noncampus_liquor,oncampus_weapon,oncampus_drug,oncampus_liquor,publicproperty_weapon,publicproperty_drug,publicproperty_liquor,reported_weapon,reported_drug,reported_liquor,residencehall_weapon,residencehall_drug,residencehall_liquor
2016,North Carolina State University at Raleigh,"Public, 4-year or above",1,0,4,31,0,62,340,0,1,0,0,0,0,0,41,315
2016,Ohio State University-Main Campus,"Public, 4-year or above",1,0,1,1,0,259,1931,0,0,2,0,0,0,0,214,1890
2016,Ohio University-Main Campus,"Public, 4-year or above",1,0,0,1,0,250,574,0,0,0,0,0,0,0,246,571
2016,Prairie View A & M University,"Public, 4-year or above",1,0,0,0,2,49,5,0,0,0,0,0,0,1,49,5
2016,Rollins College,"Private nonprofit, 4-year or above",2,0,0,0,0,13,90,0,0,0,0,0,0,0,13,89
2016,Rutgers University-New Brunswick,"Public, 4-year or above",1,0,1,0,0,129,38,0,0,0,0,0,0,0,126,38
2016,San Diego State University,"Public, 4-year or above",1,0,0,0,2,205,624,0,0,0,0,0,0,2,205,624
2016,Southern Methodist University,"Private nonprofit, 4-year or above",2,0,2,8,1,92,361,0,1,13,0,0,0,0,78,300
2016,SUNY at Albany,"Public, 4-year or above",1,0,0,0,4,220,212,1,0,0,0,0,0,4,167,210
2016,Syracuse University,"Private nonprofit, 4-year or above",2,0,2,7,2,215,1073,0,1,11,0,0,0,2,180,1038
2016,Texas A & M University-College Station,"Public, 4-year or above",1,0,1,5,7,107,169,0,1,0,0,0,0,6,84,161
2016,Texas Christian University,"Private nonprofit, 4-year or above",2,0,0,0,2,161,734,0,0,11,0,0,0,2,155,658
2016,Texas State University,"Public, 4-year or above",1,0,0,0,0,2,45,0,0,0,0,0,0,0,2,22
2016,The University of Texas at Austin,"Public, 4-year or above",1,0,3,2,1,48,150,0,8,28,0,0,0,0,26,120
2016,Tufts University,"Private nonprofit, 4-year or above",2,0,0,0,0,3,101,0,0,0,0,0,0,0,1,98
2016,University at Buffalo,"Public, 4-year or above",1,0,0,0,8,255,353,0,0,0,0,0,0,3,216,349
2016,University of Arizona,"Public, 4-year or above",1,0,0,16,0,108,704,0,15,43,0,0,0,0,76,678
2016,University of Arkansas,"Public, 4-year or above",1,0,1,5,1,41,379,0,0,0,0,0,0,1,35,368
2016,University of California-Berkeley,"Public, 4-year or above",1,0,0,0,1,35,397,0,0,0,0,0,0,1,35,391
2016,University of California-Irvine,"Public, 4-year or above",1,0,0,0,2,28,337,0,0,0,0,0,0,1,21,301
2016,University of California-Riverside,"Public, 4-year or above",1,0,0,0,3,1,10,0,0,0,0,0,0,3,1,10
2016,University of California-Santa Barbara,"Public, 4-year or above",1,0,0,0,0,120,417,0,0,0,0,0,0,0,119,417
2016,University of Central Florida,"Public, 4-year or above",1,0,8,12,1,84,107,0,14,9,0,0,0,1,33,13
2016,University of Delaware,"Public, 4-year or above",1,0,0,29,0,153,755,0,11,39,0,0,0,0,99,644
2016,University of Idaho,"Public, 4-year or above",1,0,2,6,0,32,74,0,2,0,0,0,0,0,24,73
2016,University of Illinois at Urbana-Champaign,"Public, 4-year or above",1,1,0,2,0,249,259,0,1,2,0,0,0,0,172,243
