university,year,sexual_assault_total_cl,rape_total,statr_total_cl,fondl_total,rape_reshall,rape_oncampus,rape_noncampus,fondl_noncampus,fondl_oncampus,fondl_reshall,statr_noncampus,statr_oncampus,statr_reshall,fondl_total_cl,liquor_violations_offcampus,liquor_violations_campus,liquor_violations_reshall,liquor_violations_publicprop,drug_violations_offcampus,drug_violations_campus,drug_violations_reshall,drug_violations_publicprop,liquor_violation_total_cl,drug_violation_total_cl
Tufts University,2018,14,6,0,8,6,6,0,0,7,2,0,0,0,8,0,71,68,0,0,0,0,0,139,0
University at Buffalo,2014,7,1,0,6,1,1,0,0,6,4,0,0,0,6,0,625,557,0,1,400,364,2,1182,767
University at Buffalo,2015,9,4,0,5,3,3,0,0,5,4,0,0,0,5,0,402,397,0,0,248,225,1,799,474
University at Buffalo,2016,8,3,0,5,2,2,0,0,5,4,0,0,0,5,0,353,349,0,0,255,216,0,702,471
University at Buffalo,2017,10,3,0,7,3,3,0,0,7,4,0,0,0,7,0,304,278,0,0,306,306,0,582,612
University at Buffalo,2018,12,7,0,5,3,7,0,0,5,5,0,0,0,5,0,279,279,0,0,296,254,0,558,550
University of California-Berkeley,2014,48,29,1,18,13,15,14,2,9,3,0,1,0,18,1,16,14,0,3,52,50,1,31,106
University of California-Berkeley,2015,46,18,0,28,9,13,4,2,24,4,0,0,0,28,0,15,12,0,0,67,63,1,27,131
University of California-Berkeley,2016,54,35,0,19,17,25,9,5,12,4,0,0,0,19,0,399,390,0,0,38,36,0,789,74
University of California-Berkeley,2017,62,32,0,30,14,21,9,5,16,9,0,0,0,30,0,523,522,0,0,122,121,0,1045,243
University of California-Berkeley,2018,42,28,0,14,13,19,8,3,9,4,0,0,0,14,0,653,653,0,0,118,118,0,1306,236
University of Central Florida,2014,25,19,0,6,10,17,2,0,6,1,0,0,0,6,23,233,134,8,17,166,102,7,398,292
University of Central Florida,2015,21,13,1,7,8,11,2,0,7,0,0,1,0,7,13,187,82,12,1,76,11,18,294,106
University of Central Florida,2016,23,17,2,4,14,16,1,0,4,1,0,2,1,4,12,107,13,9,8,84,33,14,141,139
University of Central Florida,2017,34,24,2,8,16,19,5,0,8,5,0,2,0,8,0,75,66,0,0,123,87,2,141,212
University of Central Florida,2018,37,21,0,16,17,20,1,0,16,6,0,0,0,16,4,119,102,2,5,113,59,9,227,186
University of Idaho,2014,7,7,0,0,6,6,1,0,0,0,0,0,0,0,2,148,138,8,0,23,22,2,296,47
University of Idaho,2015,8,4,0,4,1,1,3,0,4,1,0,0,0,4,1,148,136,2,0,37,29,2,287,68
University of Idaho,2016,5,3,1,1,2,2,1,1,0,0,1,0,0,1,6,74,73,0,2,32,24,2,153,60
University of Idaho,2017,10,6,0,4,2,2,4,1,3,3,0,0,0,4,6,75,67,1,3,22,20,6,149,51
University of Idaho,2018,6,2,0,4,1,1,1,0,4,4,0,0,0,4,6,63,58,3,0,24,18,1,130,43
University of Iowa,2014,76,17,0,59,12,13,3,1,58,5,0,0,0,59,1,663,662,0,0,18,17,0,1326,35
University of Iowa,2015,132,21,0,111,8,16,4,2,107,92,0,0,0,111,0,650,649,1,1,59,58,1,1300,119
University of Iowa,2016,54,25,0,29,16,20,1,3,20,6,0,0,0,29,0,625,624,1,0,57,49,0,1250,106
University of Iowa,2017,94,37,0,57,15,24,11,5,51,8,0,0,0,57,0,693,682,1,0,55,39,2,1376,96
University of Iowa,2018,97,50,0,47,22,31,13,1,41,11,0,0,0,47,0,546,545,0,0,44,42,1,1091,87
University of Kansas,2014,33,18,0,15,10,14,4,4,11,6,0,0,0,15,0,841,841,0,0,102,97,0,1682,199
University of Kansas,2015,23,17,0,6,6,13,1,0,6,4,0,0,0,6,0,702,702,0,0,91,86,0,1404,177
University of Kansas,2016,22,13,0,9,5,6,7,0,8,6,0,0,0,9,0,729,709,0,0,56,47,0,1438,103
University of Kansas,2017,28,15,0,13,9,13,2,0,13,5,0,0,0,13,0,480,459,0,0,67,67,0,939,134
University of Kansas,2018,30,16,0,14,13,13,3,1,13,8,0,0,0,14,0,505,487,0,0,113,109,0,992,222
University of Michigan-Ann Arbor,2014,34,21,0,13,7,14,5,2,11,0,0,0,0,13,1,1429,1413,0,0,147,144,0,2843,291
University of Michigan-Ann Arbor,2015,40,21,0,19,10,18,3,4,15,3,0,0,0,19,2,1629,1622,5,0,281,267,0,3258,548
University of Michigan-Ann Arbor,2016,35,20,0,15,6,13,6,2,13,7,0,0,0,15,0,1603,1594,10,2,362,360,0,3207,724
University of Michigan-Ann Arbor,2017,39,25,0,14,12,15,9,4,10,5,0,0,0,14,1,1556,1543,4,0,278,277,0,3104,555
University of Michigan-Ann Arbor,2018,78,46,0,32,21,43,2,1,30,6,0,0,0,32,0,1001,943,0,0,135,135,5,1944,275
University of Missouri-Columbia,2014,26,18,0,8,6,6,12,2,6,2,0,0,0,8,1,1058,1058,0,0,0,0,1,2117,1
University of Missouri-Columbia,2015,25,13,0,12,9,9,4,3,9,5,0,0,0,12,4,1031,1031,0,0,4,4,0,2066,8
University of Missouri-Columbia,2016,29,22,0,7,13,19,3,0,7,2,0,0,0,7,5,792,770,3,0,0,0,0,1570,0
University of Missouri-Columbia,2017,30,17,0,13,7,11,6,2,11,5,0,0,0,13,2,416,360,1,0,4,3,0,779,7
University of Missouri-Columbia,2018,23,10,0,13,6,6,4,1,12,3,0,0,0,13,0,196,186,0,0,8,4,1,382,13
University of New Mexico-Main Campus,2014,19,12,0,7,8,12,0,0,7,0,0,0,0,7,0,281,281,0,0,138,135,0,562,273
University of New Mexico-Main Campus,2015,31,13,0,18,9,12,1,1,17,2,0,0,0,18,0,277,277,0,0,89,87,0,554,176
University of New Mexico-Main Campus,2016,26,15,0,11,10,15,0,1,10,3,0,0,0,11,0,227,227,0,0,73,72,0,454,145
University of New Mexico-Main Campus,2017,31,19,0,12,13,18,1,0,12,4,0,0,0,12,0,316,311,0,0,93,93,2,627,188
University of New Mexico-Main Campus,2018,37,24,0,13,14,24,0,2,11,1,0,0,0,13,0,191,190,0,0,62,50,0,381,112
University of North Florida,2014,6,4,0,2,4,4,0,0,2,2,0,0,0,2,0,144,134,0,0,73,68,0,278,141
University of North Florida,2015,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,230,221,0,0,127,106,0,451,233
University of North Florida,2016,7,5,0,2,3,5,0,0,2,0,0,0,0,2,0,160,155,0,0,113,101,1,315,215
University of North Florida,2017,9,9,0,0,6,9,0,0,0,0,0,0,0,0,0,204,196,0,0,163,147,0,400,310
University of North Florida,2018,5,4,0,1,4,4,0,0,1,1,0,0,0,1,0,322,319,0,0,117,110,0,641,227
University of Pittsburgh-Pittsburgh Campus,2014,30,21,0,9,17,20,0,0,7,6,0,0,0,9,0,284,281,5,0,29,28,9,570,66
University of Pittsburgh-Pittsburgh Campus,2015,27,17,0,10,13,13,2,0,8,3,0,0,0,10,1,391,385,4,0,61,54,10,781,125
University of Pittsburgh-Pittsburgh Campus,2016,24,13,0,11,12,13,0,0,9,6,0,0,0,11,5,248,240,3,0,124,89,2,496,215
University of Pittsburgh-Pittsburgh Campus,2017,14,9,0,5,8,9,0,0,5,4,0,0,0,5,3,279,276,6,0,152,118,0,564,270
University of Pittsburgh-Pittsburgh Campus,2018,13,6,0,7,4,6,0,1,5,4,0,0,0,7,3,252,247,11,0,56,46,8,513,110
University of Vermont,2014,29,27,0,2,16,27,0,0,1,0,0,0,0,2,5,667,613,41,0,344,315,2,1326,661
University of Vermont,2015,30,19,0,11,12,16,3,1,9,2,0,0,0,11,9,628,576,38,1,317,245,0,1251,563
University of Vermont,2016,38,24,0,14,12,19,5,1,13,4,0,0,0,14,8,587,509,34,0,393,287,4,1138,684
University of Vermont,2017,20,14,0,6,8,13,1,1,5,4,0,0,0,6,0,476,411,17,0,505,405,6,904,916
University of Vermont,2018,37,27,0,10,19,22,5,1,9,8,0,0,0,10,7,368,344,0,1,185,162,0,719,348
University of Virginia-Main Campus,2014,49,44,0,5,24,35,9,1,4,3,0,0,0,5,3,609,584,5,0,29,0,0,1201,29
University of Virginia-Main Campus,2015,17,7,0,10,7,7,0,0,8,3,0,0,0,10,27,533,517,1,0,2,0,0,1078,2
University of Virginia-Main Campus,2016,24,15,0,9,10,10,4,2,7,3,0,0,0,9,3,580,532,16,0,25,14,0,1131,39
University of Virginia-Main Campus,2017,25,16,0,9,9,12,3,2,6,3,0,0,0,9,1,401,357,14,2,70,51,0,773,123
University of Virginia-Main Campus,2018,44,28,0,16,20,28,0,0,16,6,0,0,0,16,5,439,404,5,1,28,12,1,853,42
Washington State University,2014,14,12,0,2,7,7,5,0,2,2,0,0,0,2,0,299,240,0,0,318,292,0,539,610
Washington State University,2015,28,28,0,0,13,15,13,0,0,0,0,0,0,0,0,273,204,0,0,335,249,0,477,584
Washington State University,2016,44,34,0,10,8,8,21,3,7,6,0,0,0,10,0,390,345,0,0,246,180,0,735,426
