year,university,sector_desc,sector_cd,noncampus_murd,noncampus_neg_m,noncampus_rape,noncampus_fondl,noncampus_inces,noncampus_statr,noncampus_robbe,noncampus_agg_a,noncampus_burgla,noncampus_vehic,noncampus_arson,oncampus_murd,oncampus_neg_m,oncampus_rape,oncampus_fondl,oncampus_inces,oncampus_statr,oncampus_robbe,oncampus_agg_a,oncampus_burgla,oncampus_vehic,oncampus_arson,publicproperty_murd,publicproperty_neg_m,publicproperty_rape,publicproperty_fondl,publicproperty_inces,publicproperty_statr,publicproperty_robbe,publicproperty_agg_a,publicproperty_burgla,publicproperty_vehic,publicproperty_arson,reported_murd,reported_neg_m,reported_rape,reported_fondl,reported_inces,reported_statr,reported_robbe,reported_agg_a,reported_burgla,reported_vehic,reported_arson,residencehall_murd,residencehall_neg_m,residencehall_rape,residencehall_fondl,residencehall_inces,residencehall_statr,residencehall_robbe,residencehall_agg_a,residencehall_burgla,residencehall_vehic,residencehall_arson
2014,University of Wisconsin-Madison,"Public, 4-year or above",1,0,0,4,0,0,0,5,12,17,0,1,0,1,17,9,0,0,1,4,41,5,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,1,11,0,0
2014,Washington State University,"Public, 4-year or above",1,0,0,5,0,0,0,0,2,13,0,0,0,0,7,2,0,0,0,2,34,8,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,22,0,2
2014,West Virginia University,"Public, 4-year or above",1,0,0,4,0,0,0,0,0,5,0,0,0,0,4,2,0,0,1,3,16,1,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,8,0,2
2015,Albany State University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,2,1,0,0,0,2,0,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,2,0,0
2015,Arkansas State University-Main Campus,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0
2015,Ball State University,"Public, 4-year or above",1,0,0,8,2,0,0,0,0,3,0,0,0,0,18,6,0,0,2,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,4,0,1
2015,California Polytechnic State University-San Luis Obispo,"Public, 4-year or above",1,0,0,2,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,4,0,2
2015,California State University-Chico,"Public, 4-year or above",1,0,0,1,0,0,0,0,1,5,0,0,0,0,3,1,0,0,1,2,8,6,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
2015,Clemson University,"Public, 4-year or above",1,0,0,5,0,0,0,1,1,6,5,0,0,0,6,2,0,0,0,3,13,45,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,6,0,0
2015,College of Charleston,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,2,0,0
