incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Fight                      ,2015-00009170,06-25-2015,0:25,Ball State University,NA,NA,NA
Suspicious Activity        ,2015-00009175,06-25-2015,4:13,Ball State University,NA,NA,NA
Assist                     ,2015-00009266,06-27-2015,3:00,Ball State University,NA,NA,NA
Vehicle Burglary           ,2015-00009273,06-27-2015,8:04,Ball State University,NA,NA,NA
Assist                     ,2015-00009327,06-29-2015,1:46,Ball State University,NA,NA,NA
Battery                    ,2015-00009368,06-30-2015,0:58,Ball State University,NA,NA,NA
Theft                      ,2015-00009387,06-30-2015,5:32,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Theft                     ,2015-00009444,07-01-2015,2:17,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00009484,07-03-2015,1:05,Ball State University,NA,NA,NA
Suspicious Person         ,2015-00009523,07-04-2015,1:17,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00009550,07-04-2015,9:17,Ball State University,NA,NA,NA
Check Welfare             ,2015-00009561,07-05-2015,1:07,Ball State University,NA,NA,NA
Suspicious Person         ,2015-00009567,07-05-2015,2:31,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00009586,07-05-2015,8:39,Ball State University,NA,NA,NA
Sexual Battery            ,2015-00009644,07-07-2015,7:07,Ball State University,NA,NA,NA
Warrant Service           ,2015-00009747,07-09-2015,8:46,Ball State University,NA,NA,NA
Battery                   ,2015-00009804,07-11-2015,2:24,Ball State University,NA,NA,NA
Shoplifting               ,2015-00009819,07-11-2015,8:13,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00009938,07-14-2015,9:37,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00009939,07-14-2015,0:05,Ball State University,NA,NA,NA
Threats                   ,2015-00009964,07-15-2015,2:04,Ball State University,NA,NA,NA
Check Welfare             ,2015-00009973,07-15-2015,5:36,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010035,07-17-2015,0:50,Ball State University,NA,NA,NA
Theft                     ,2015-00010057,07-17-2015,3:43,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010092,07-18-2015,2:23,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010093,07-18-2015,2:30,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010171,07-20-2015,5:37,Ball State University,NA,NA,NA
Assist                    ,2015-00010213,07-21-2015,6:17,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00010290,07-23-2015,4:55,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010312,07-24-2015,2:54,Ball State University,NA,NA,NA
Vehicle Burglary          ,2015-00010328,07-24-2015,6:01,Ball State University,NA,NA,NA
Rape                      ,2015-00010347,07-25-2015,1:41,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010377,07-26-2015,1:18,Ball State University,NA,NA,NA
Fight                     ,2015-00010380,07-26-2015,3:11,Ball State University,NA,NA,NA
Theft                     ,2015-00010515,07-29-2015,8:39,Ball State University,NA,NA,NA
Theft                     ,2015-00010562,07-30-2015,5:14,Ball State University,NA,NA,NA
Threats                   ,2015-00010582,07-31-2015,0:40,Ball State University,NA,NA,NA
Identity Deception        ,2015-00010606,07-31-2015,3:15,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010648,08-01-2015,2:30,Ball State University,NA,NA,NA
Theft                     ,2015-00010784,08-04-2015,9:39,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00010815,08-05-2015,2:59,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010816,08-05-2015,3:25,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00010840,08-05-2015,5:56,Ball State University,NA,NA,NA
Subject Causing Trouble   ,2015-00010852,08-06-2015,2:58,Ball State University,NA,NA,NA
Speak to Officer          ,2015-00010903,08-07-2015,0:00,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010909,08-07-2015,4:26,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010910,08-07-2015,5:46,Ball State University,NA,NA,NA
Suspicious Vehicle        ,2015-00010911,08-07-2015,5:53,Ball State University,NA,NA,NA
Assist                    ,2015-00010912,08-07-2015,5:59,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010913,08-07-2015,6:11,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010914,08-07-2015,6:23,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010915,08-07-2015,6:29,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00010925,08-07-2015,0:43,Ball State University,NA,NA,NA
