incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Criminal Mischief                             ,2019-00010329,04-28-2019,9:31,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00010330,04-28-2019,7:00,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00010331,04-28-2019,9:50,Ball State University,NA,NA,NA
Assist Other Agency-Leaving scene of accident ,2019-00010350,04-29-2019,3:00,Ball State University,NA,NA,NA
Theft-from vehicle                            ,2019-00010380,04-29-2019,9:30,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00010389,04-29-2019,3:42,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2019-00010395,04-29-2019,5:15,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00010394,04-29-2019,8:30,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00010469,04-30-2019,9:30,Ball State University,NA,NA,NA
Battery                                       ,2019-00010484,04-30-2019,2:08,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00010505,05-01-2019,1:52,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2019-00010538,05-01-2019,2:00,Ball State University,NA,NA,NA
Battery                                       ,2019-00010628,05-02-2019,2:18,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00010641,05-02-2019,7:31,Ball State University,NA,NA,NA
Assist Other Agency-Disorderly Conduct        ,2019-00010675,05-02-2019,3:20,Ball State University,NA,NA,NA
Theft-from vehicle                            ,2019-00010732,05-03-2019,1:20,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00010747,05-03-2019,6:59,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00010784,05-04-2019,2:33,Ball State University,NA,NA,NA
Theft                                         ,2019-00010807,05-04-2019,9:19,Ball State University,NA,NA,NA
Theft                                         ,2019-00010815,05-04-2019,2:00,Ball State University,NA,NA,NA
Theft                                         ,2019-00010831,05-04-2019,6:05,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00010834,05-04-2019,8:11,Ball State University,NA,NA,NA
Theft                                         ,2019-00010856,05-04-2019,4:30,Ball State University,NA,NA,NA
Disorderly Conduct                            ,2019-00010861,05-05-2019,1:37,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00010867,05-05-2019,2:43,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Driver        ,2019-00010870,05-05-2019,3:26,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00010893,05-05-2019,1:02,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00010894,05-05-2019,1:00,Ball State University,NA,NA,NA
Burglary                                      ,2019-00011038,05-07-2019,7:10,Ball State University,NA,NA,NA
Habitual Traffic Violator                     ,2019-00011043,05-07-2019,1:17,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2019-00011202,05-10-2019,3:13,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00011259,05-10-2019,1:00,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00011372,05-12-2019,6:00,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00011398,05-12-2019,3:31,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00011483,05-14-2019,0:37,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00011553,05-14-2019,6:49,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00011568,05-14-2019,0:54,Ball State University,NA,NA,NA
Narcotics-Traffic Stop                        ,2019-00011616,05-15-2019,2:47,Ball State University,NA,NA,NA
Driving While Suspended                       ,2019-00011625,05-15-2019,6:10,Ball State University,NA,NA,NA
Assist Other Agency-Vehicle Theft             ,2019-00011664,05-16-2019,4:37,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2019-00011728,05-16-2019,1:52,Ball State University,NA,NA,NA
Theft                                         ,2019-00011763,05-17-2019,7:50,Ball State University,NA,NA,NA
Assist Other Agency-Leaving Scene of Accident ,2019-00011772,05-17-2019,1:47,Ball State University,NA,NA,NA
Theft                                         ,2019-00011776,05-17-2019,2:37,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00011785,05-17-2019,7:04,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00011789,05-17-2019,8:23,Ball State University,NA,NA,NA
Assist Other Agency-Attempted Murder          ,2019-00011808,05-18-2019,0:46,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00011843,05-18-2019,7:25,Ball State University,NA,NA,NA
Burglary                                      ,2019-00011852,05-18-2019,9:30,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00011956,05-20-2019,7:10,Ball State University,NA,NA,NA
Theft                                         ,2019-00011974,05-20-2019,1:34,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00012106,05-22-2019,7:38,Ball State University,NA,NA,NA
Criminal Recklessness-handgun                 ,2019-00012157,05-23-2019,3:34,Ball State University,NA,NA,NA
Assist Other Agency-Fight                     ,2019-00012201,05-23-2019,5:42,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00012207,05-23-2019,2:00,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00012250,05-24-2019,3:03,Ball State University,NA,NA,NA
Burglary                                      ,2019-00012364,05-25-2019,8:22,Ball State University,NA,NA,NA
Fraud                                         ,2019-00012475,05-27-2019,5:19,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00012484,05-27-2019,1:00,Ball State University,NA,NA,NA
Operating while never receiving license       ,2019-00012500,05-27-2019,3:39,Ball State University,NA,NA,NA
Narcotics-Traffic Stop                        ,2019-00012512,05-28-2019,1:33,Ball State University,NA,NA,NA
Burglary                                      ,2019-00012592,05-29-2019,2:19,Ball State University,NA,NA,NA
Burglary                                      ,2019-00012603,05-29-2019,8:03,Ball State University,NA,NA,NA
Assist Other Agency-Shoplifting               ,2019-00012658,05-30-2019,0:50,Ball State University,NA,NA,NA
Intimidatation                                ,2019-00012598,05-30-2019,5:00,Ball State University,NA,NA,NA
Reckless Driving                              ,2019-00012763,05-31-2019,8:11,Ball State University,NA,NA,NA
Burglary                                      ,2019-00012794,05-31-2019,7:30,Ball State University,NA,NA,NA
Assist other Agency-Crim. Reckless.-handgun   ,2019-00012814,06-01-2019,3:13,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00012851,06-01-2019,2:38,Ball State University,NA,NA,NA
Intimidatation                                ,2019-00012865,06-01-2019,7:13,Ball State University,NA,NA,NA
Battery                                       ,2019-00012878,06-01-2019,3:21,Ball State University,NA,NA,NA
Residential Entry                             ,2019-00013156,06-05-2019,0:53,Ball State University,NA,NA,NA
Theft                                         ,2019-00013190,06-06-2019,8:00,Ball State University,NA,NA,NA
Burglary                                      ,2019-00013255,06-07-2019,8:27,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00013295,06-07-2019,1:39,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2019-00013308,06-08-2019,2:29,Ball State University,NA,NA,NA
Assist Other Agency-Residential Entry         ,2019-00013444,06-09-2019,3:57,Ball State University,NA,NA,NA
Assist Other Agency-Burglary                  ,2019-00013473,06-10-2019,8:50,Ball State University,NA,NA,NA
Theft                                         ,2019-00013581,06-11-2019,1:00,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00013629,06-12-2019,6:45,Ball State University,NA,NA,NA
Theft                                         ,2019-00013642,06-12-2019,9:45,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00013683,06-12-2019,1:29,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00013862,06-14-2019,0:44,Ball State University,NA,NA,NA
Theft                                         ,2019-00013870,06-15-2019,0:39,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00013871,06-15-2019,1:01,Ball State University,NA,NA,NA
Public Intoxication                           ,2019-00013945,06-16-2019,3:17,Ball State University,NA,NA,NA
Theft                                         ,2019-00013961,06-16-2019,0:07,Ball State University,NA,NA,NA
Theft                                         ,2019-00013963,06-16-2019,2:15,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00014191,06-19-2019,6:49,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00014200,06-19-2019,1:57,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00014207,06-20-2019,1:49,Ball State University,NA,NA,NA
Domestic Battery                              ,2019-00014284,06-20-2019,4:30,Ball State University,NA,NA,NA
Assist Other Agency-Shoplifting               ,2019-00014291,06-20-2019,1:01,Ball State University,NA,NA,NA
Assist Other Agency-Theft from vehicle        ,2019-00014307,06-21-2019,1:34,Ball State University,NA,NA,NA
Assist Other Agency-Theft                     ,2019-00014364,06-21-2019,0:05,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00014408,06-22-2019,0:20,Ball State University,NA,NA,NA
Assist Other Agency-Death Investigation       ,2019-00014459,06-23-2019,7:02,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00014530,06-24-2019,7:00,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00014537,06-24-2019,0:22,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00014570,06-25-2019,8:52,Ball State University,NA,NA,NA
Assist Other Agency-Disorderly Conduct        ,2019-00014611,06-26-2019,1:28,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00014641,06-26-2019,7:59,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00014671,06-26-2019,6:19,Ball State University,NA,NA,NA
Neglect of Dependent                          ,2019-00014681,06-26-2019,3:43,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00014698,06-26-2019,1:17,Ball State University,NA,NA,NA
Assist Other Agency-Burglary                  ,2019-00014823,06-28-2019,1:52,Ball State University,NA,NA,NA
Criminal Recklessness-handgun                 ,2019-00014831,06-29-2019,2:08,Ball State University,NA,NA,NA
Criminal Recklessness-handgun                 ,2019-00014892,06-30-2019,1:03,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00014912,06-30-2019,0:44,Ball State University,NA,NA,NA
Theft                                         ,2019-00014964,07-01-2019,2:19,Ball State University,NA,NA,NA
Narcotics-Traffic Stop                        ,2019-00015259,07-05-2019,7:12,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00015263,07-05-2019,9:13,Ball State University,NA,NA,NA
Public Indecency                              ,2019-00015290,07-05-2019,3:40,Ball State University,NA,NA,NA
Burglary                                      ,2019-00015434,07-07-2019,2:30,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00015458,07-08-2019,2:40,Ball State University,NA,NA,NA
Burglary                                      ,2019-00015469,07-08-2019,6:30,Ball State University,NA,NA,NA
Disorderly Conduct                            ,2019-00015514,07-08-2019,1:30,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00015521,07-09-2019,0:52,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00015530,07-09-2019,3:28,Ball State University,NA,NA,NA
Theft                                         ,2019-00015663,07-10-2019,7:00,Ball State University,NA,NA,NA
Burglary                                      ,2019-00015857,07-12-2019,6:45,Ball State University,NA,NA,NA
Fire                                          ,2019-00015890,07-12-2019,2:12,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00015897,07-13-2019,1:14,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Driver        ,2019-00015900,07-13-2019,1:40,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00015971,07-13-2019,9:52,Ball State University,NA,NA,NA
Assist Other Agency-Leaving Scene of Accident ,2019-00016207,07-16-2019,0:32,Ball State University,NA,NA,NA
Assist Other Agency-Residential Entry         ,2019-00016233,07-17-2019,2:24,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00016399,07-17-2019,2:54,Ball State University,NA,NA,NA
Forgery                                       ,2019-00016445,07-19-2019,5:29,Ball State University,NA,NA,NA
Operating while never receiving license       ,2019-00016468,07-20-2019,0:37,Ball State University,NA,NA,NA
Assist Other Agency-Disorderly Conduct        ,2019-00016473,07-20-2019,1:59,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Assist Other Agency-Robbery                   ,2019-00016495,07-20-2019,5:22,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2019-00016547,07-20-2019,1:47,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2019-00016595,07-21-2019,4:58,Ball State University,NA,NA,NA
Assist Other Agency-Theft                     ,2019-00016624,07-22-2019,5:09,Ball State University,NA,NA,NA
Theft                                         ,2019-00016684,07-23-2019,1:56,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00016741,07-23-2019,1:02,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2019-00016893,07-25-2019,9:00,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00016894,07-25-2019,0:07,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00016919,07-26-2019,2:45,Ball State University,NA,NA,NA
Assist Other Agency- Domestic Dispute         ,2019-00017021,07-27-2019,1:31,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00017023,07-27-2019,1:57,Ball State University,NA,NA,NA
Assist Other Agency- Domestic Dispute         ,2019-00017067,07-27-2019,3:50,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00017148,07-28-2019,3:00,Ball State University,NA,NA,NA
Theft                                         ,2019-00017226,07-29-2019,3:00,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2019-00017297,07-30-2019,3:17,Ball State University,NA,NA,NA
Assist Other Agency-Burglary                  ,2019-00017299,07-30-2019,5:37,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00017301,07-30-2019,6:44,Ball State University,NA,NA,NA
Invasion of Privacy                           ,2019-00017314,07-30-2019,0:11,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Person        ,2019-00017329,07-31-2019,2:39,Ball State University,NA,NA,NA
Burglary                                      ,2019-00017535,08-02-2019,7:05,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2019-00017565,08-03-2019,9:36,Ball State University,NA,NA,NA
Theft                                         ,2019-00017566,08-03-2019,0:00,Ball State University,NA,NA,NA
Assist Other Agency-Disorderly Conduct        ,2019-00017621,08-04-2019,3:13,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00017622,08-04-2019,3:45,Ball State University,NA,NA,NA
Habitual Traffic Violator                     ,2019-00017665,08-04-2019,1:03,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00017682,08-05-2019,3:32,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00017704,08-05-2019,3:00,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00018091,08-09-2019,2:47,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Driver        ,2019-00018092,08-09-2019,3:32,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00018096,08-10-2019,0:21,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00018104,08-10-2019,1:26,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00018108,08-10-2019,2:39,Ball State University,NA,NA,NA
Disorderly Conduct                            ,2019-00018109,08-10-2019,2:50,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00018151,08-10-2019,7:47,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00018188,08-11-2019,1:02,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00018190,08-11-2019,2:16,Ball State University,NA,NA,NA
Robbery                                       ,2019-00018185,08-11-2019,0:06,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00018188,08-11-2019,1:02,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00018190,08-11-2019,2:16,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00018256,08-11-2019,2:24,Ball State University,NA,NA,NA
Theft                                         ,2019-00018281,08-12-2019,8:00,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00018305,08-12-2019,7:15,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00018348,08-13-2019,6:07,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00018358,08-13-2019,8:19,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00018415,08-13-2019,9:31,Ball State University,NA,NA,NA
Sexual Battery                                ,2019-00018419,08-13-2019,0:14,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00018438,08-13-2019,3:26,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00018450,08-14-2019,3:01,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00018451,08-14-2019,3:24,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00018503,08-15-2019,0:24,Ball State University,NA,NA,NA
Burglary                                      ,2019-00018512,08-15-2019,2:26,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00018574,08-15-2019,6:34,Ball State University,NA,NA,NA
Assist Other Agency-Resisting law enforcement ,2019-00018621,08-16-2019,0:48,Ball State University,NA,NA,NA
Assist Other Agency-Narcotics                 ,2019-00018623,08-16-2019,0:53,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00018628,08-16-2019,1:44,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2019-00018711,08-16-2019,6:00,Ball State University,NA,NA,NA
Harassment                                    ,2019-00018715,08-16-2019,2:41,Ball State University,NA,NA,NA
Battery                                       ,2019-00018730,08-16-2019,9:53,Ball State University,NA,NA,NA
Harassment                                    ,2019-00018736,08-16-2019,0:17,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00018750,08-16-2019,1:58,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00018752,08-16-2019,2:09,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Driver        ,2019-00018759,08-17-2019,0:07,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Person        ,2019-00018762,08-17-2019,0:20,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2019-00018763,08-17-2019,0:33,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00018774,08-17-2019,2:41,Ball State University,NA,NA,NA
Attempted Theft-bicycle                       ,2019-00018809,08-17-2019,9:54,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00018814,08-17-2019,5:00,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00018813,08-17-2019,0:44,Ball State University,NA,NA,NA
Assist Other Agency-Intimidation              ,2019-00018858,08-17-2019,2:20,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00018870,08-18-2019,0:27,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2019-00018876,08-18-2019,1:07,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2019-00018877,08-18-2019,1:20,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00018880,08-18-2019,1:52,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00018923,08-18-2019,3:15,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00018926,08-18-2019,0:40,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00018928,08-18-2019,4:00,Ball State University,NA,NA,NA
Assist Other Agency-Theft                     ,2019-00018937,08-18-2019,9:16,Ball State University,NA,NA,NA
Harassment                                    ,2019-00018952,08-18-2019,0:52,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00018954,08-18-2019,0:45,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00018959,08-18-2019,3:24,Ball State University,NA,NA,NA
Suspended Driver                              ,2019-00018984,08-19-2019,8:52,Ball State University,NA,NA,NA
Theft                                         ,2019-00019013,08-19-2019,4:10,Ball State University,NA,NA,NA
Theft                                         ,2019-00019021,08-19-2019,4:00,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00019166,08-21-2019,1:28,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00019167,08-21-2019,1:33,Ball State University,NA,NA,NA
False Informing                               ,2019-00019209,08-21-2019,1:03,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00019214,08-21-2019,5:45,Ball State University,NA,NA,NA
Theft-from vehicle                            ,2019-00019215,08-21-2019,4:00,Ball State University,NA,NA,NA
Assist Other Agency-Invasion of Privacy       ,2019-00019237,08-21-2019,1:01,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00019304,08-22-2019,4:42,Ball State University,NA,NA,NA
Theft-from vehicle                            ,2019-00019326,08-22-2019,7:30,Ball State University,NA,NA,NA
Assist Other Agency-Resisting law enforcement ,2019-00019333,08-22-2019,1:09,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2019-00019427,08-23-2019,2:55,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00019441,08-24-2019,0:47,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00019448,08-24-2019,1:46,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2019-00019451,08-24-2019,1:55,Ball State University,NA,NA,NA
Public Intoxication                           ,2019-00019454,08-24-2019,2:12,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00019455,08-24-2019,2:20,Ball State University,NA,NA,NA
Battery                                       ,2019-00019456,08-24-2019,2:32,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2019-00019457,08-24-2019,2:51,Ball State University,NA,NA,NA
Driving While Suspended                       ,2019-00019459,08-24-2019,3:01,Ball State University,NA,NA,NA
Assist Other Agency-Leaving Scene of Accident ,2019-00019461,08-24-2019,3:20,Ball State University,NA,NA,NA
Fraud                                         ,2019-00019493,08-24-2019,1:01,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00019504,08-24-2019,3:41,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00019536,08-24-2019,2:09,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00019546,08-25-2019,0:24,Ball State University,NA,NA,NA
Assist Other Agency-Illegal poss. Of alcohol  ,2019-00019550,08-25-2019,0:55,Ball State University,NA,NA,NA
Battery                                       ,2019-00019584,08-25-2019,8:40,Ball State University,NA,NA,NA
Harassment                                    ,2019-00019589,08-25-2019,1:29,Ball State University,NA,NA,NA
Theft                                         ,2019-00019612,08-25-2019,1:57,Ball State University,NA,NA,NA
Theft                                         ,2019-00019648,08-26-2019,0:50,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00019661,08-26-2019,6:00,Ball State University,NA,NA,NA
Rape                                          ,2019-00019681,08-26-2019,0:00,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00019727,08-27-2019,3:30,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00019736,08-27-2019,6:02,Ball State University,NA,NA,NA
Disorderly Conduct                            ,2019-00019760,08-27-2019,1:48,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00019766,08-27-2019,2:25,Ball State University,NA,NA,NA
Theft                                         ,2019-00019772,08-28-2019,0:40,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00019796,08-28-2019,4:08,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00019804,08-28-2019,9:30,Ball State University,NA,NA,NA
Criminal Mischief                             ,2019-00019810,08-28-2019,3:12,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00019839,08-28-2019,0:46,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00019895,08-29-2019,0:00,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00019925,08-29-2019,8:30,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00019927,08-29-2019,7:00,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00019933,08-29-2019,2:34,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00019934,08-29-2019,2:25,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00019946,08-30-2019,0:37,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2019-00019949,08-30-2019,1:52,Ball State University,NA,NA,NA
Assist Other Agency-Bicycle Theft             ,2019-00019964,08-30-2019,7:37,Ball State University,NA,NA,NA
Public Intoxication                           ,2019-00020043,08-31-2019,1:04,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00020099,08-31-2019,2:19,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Driver        ,2019-00020114,09-01-2019,2:35,Ball State University,NA,NA,NA
Burglary                                      ,2019-00020153,09-01-2019,4:52,Ball State University,NA,NA,NA
Assist Other Agency-Disorderly Conduct        ,2019-00020181,09-02-2019,1:56,Ball State University,NA,NA,NA
Theft-from vehicle                            ,2019-00020207,09-02-2019,1:00,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00020212,09-02-2019,7:00,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00020212,09-02-2019,2:45,Ball State University,NA,NA,NA
Theft                                         ,2019-00020291,09-03-2019,2:31,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00020341,09-04-2019,9:00,Ball State University,NA,NA,NA
Theft-from vehicle                            ,2019-00020352,09-04-2019,4:00,Ball State University,NA,NA,NA
Disorderly Conduct                            ,2019-00020354,09-04-2019,5:47,Ball State University,NA,NA,NA
Theft                                         ,2019-00020357,09-04-2019,5:00,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00020379,09-05-2019,0:21,Ball State University,NA,NA,NA
Assist Other Agency-Robbery                   ,2019-00020403,09-05-2019,0:10,Ball State University,NA,NA,NA
Theft                                         ,2019-00020409,09-05-2019,0:52,Ball State University,NA,NA,NA
Theft                                         ,2019-00020424,09-05-2019,3:50,Ball State University,NA,NA,NA
Theft                                         ,2019-00020426,09-05-2019,8:45,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2019-00020434,09-05-2019,7:34,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00020459,09-05-2019,2:35,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00020547,09-06-2019,3:33,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2019-00020548,09-06-2019,3:50,Ball State University,NA,NA,NA
Public Intoxication                           ,2019-00020555,09-07-2019,1:24,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2019-00020581,09-07-2019,0:30,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00020596,09-07-2019,1:45,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00020591,09-07-2019,3:33,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00020592,09-07-2019,3:36,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00020601,09-07-2019,3:30,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2019-00020606,09-07-2019,7:34,Ball State University,NA,NA,NA
Theft                                         ,2019-00020609,09-07-2019,0:41,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00020611,09-07-2019,1:28,Ball State University,NA,NA,NA
Battery                                       ,2019-00020613,09-07-2019,3:07,Ball State University,NA,NA,NA
Intoxicated Person                            ,2019-00020618,09-08-2019,1:26,Ball State University,NA,NA,NA
Criminal Recklessness-handgun                 ,2019-00020619,09-08-2019,2:17,Ball State University,NA,NA,NA
Theft-from vehicle                            ,2019-00020640,09-08-2019,5:30,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00020664,09-08-2019,7:30,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2019-00020745,09-09-2019,8:50,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2019-00020748,09-09-2019,3:00,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00020778,09-09-2019,0:53,Ball State University,NA,NA,NA
Assist Other Agency-Intimidation              ,2019-00020786,09-09-2019,1:46,Ball State University,NA,NA,NA
Public Intoxication                           ,2019-00020804,09-10-2019,1:51,Ball State University,NA,NA,NA
Public Intoxication                           ,2019-00020805,09-10-2019,3:16,Ball State University,NA,NA,NA
Narcotics                                     ,2019-00020817,09-10-2019,8:23,Ball State University,NA,NA,NA
